"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100"
"4am";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  1.1792193";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.6368420";"  0.7603556";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";" 97.1198358";"100.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";" 98.6353025";"  0.0000000";"  0.0000000";"  0.1624558";"  1.3611448";"  0.0000000";"100.0000000";"  0.0000000";"  0.0000000";"  0.0000000";" 97.4819440";"  0.0000000";"  0.0000000";"100.0000000"
"5am";"  0.0000000";"  0.0000000";"  1.1860456";"  0.0000000";"  1.1968728";"  0.0000000";"  0.0000000";"  0.0000000";"  0.6931229";"  0.0000000";"  0.0000000";"  1.2140627";"  0.7465800";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  1.2254894";" 97.0645930";"100.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";" 98.5756899";"  0.5287730";"  0.0000000";"  0.5902074";"  1.3496369";"  0.0000000";"100.0000000";"  0.0000000";"  0.0000000";"  0.0000000";" 95.9406304";"  0.3813191";"  0.0000000";" 99.3866091"
"6am";"  0.0000000";"  0.0000000";"  2.8728633";"  1.6544408";"  1.2149356";"  0.0000000";"  0.0000000";"  0.0000000";"  0.7086953";"  0.0000000";"  0.6782768";"  1.6428670";"  1.0300819";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  1.2362301";" 95.1310310";" 98.0154274";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.0000000";"  0.4802636";"  0.0000000";"100.0000000";"  0.5555832";"  0.0000000";"  1.5580918";"  2.6852100";"  0.0000000";"100.0000000";"  0.0000000";"  0.0000000";"  0.0000000";" 94.1029660";"  1.0890951";"  0.5544767";" 96.6574423"
"7am";" 2.1002366";" 9.2046519";" 6.4908227";" 8.0148809";" 2.2342535";" 0.0000000";" 0.0000000";" 0.4670349";" 3.2554710";" 0.6376092";" 6.1240482";" 5.2885628";" 2.0267382";" 0.0000000";" 0.7580830";" 0.0000000";" 0.0000000";" 1.6441900";"93.3974339";"93.8824095";" 1.7037002";" 0.9395531";" 3.1629421";" 1.2570378";" 2.3984194";" 0.5595725";" 0.0000000";"97.2853525";" 3.5776016";" 0.0000000";" 4.6059558";" 5.8128441";" 0.0000000";"96.0858701";" 0.0000000";" 0.0000000";" 1.5788019";"82.4635921";" 2.0417638";" 1.3344853";"91.1303534"
"8am";" 4.9408161";"10.7329975";" 7.7771990";" 8.7885841";" 4.9794655";" 1.9103852";" 2.2033254";" 0.4788752";" 4.7143470";" 4.0248259";" 9.2092909";" 7.8919923";" 4.0559179";" 0.0000000";" 0.8560034";" 2.3451766";" 1.4655288";" 2.5128393";"88.2531165";"91.7092858";" 2.2494931";" 1.0842300";" 4.5227423";" 3.1911922";" 2.6846736";" 1.3788103";" 0.0000000";"95.5429799";" 3.5922295";" 0.0000000";" 8.3415032";"11.8701370";" 0.0000000";"96.2483019";" 1.0311533";" 1.2066412";" 2.8078524";"69.2941397";" 3.8521697";" 1.3456232";"83.6236786"
"9am";" 4.5671390";"10.9779030";" 8.6607866";" 9.6716853";" 4.7154381";" 0.0000000";" 1.0825018";" 0.4893258";" 5.3261172";" 4.7134191";" 9.0809253";" 9.0591342";" 4.1692764";" 1.0698870";" 0.9134367";" 2.2429598";" 0.8680517";" 3.2467082";"87.4363726";"89.5574251";" 1.9791527";" 1.1152990";" 5.8899013";" 2.7245356";" 2.9967205";" 1.5298722";" 0.0000000";"95.2037286";" 4.3838943";" 0.0000000";" 8.6366957";"11.8014759";" 0.0000000";"93.9253958";" 2.2812919";" 1.2681886";" 2.3747392";"67.6018447";" 4.2026016";" 1.3456959";"82.7225391"
"10am";" 4.9333298";"11.0946571";"10.6478942";" 9.1731216";" 4.8865566";" 0.0000000";" 1.0532679";" 0.4715476";" 5.4498675";" 4.2805790";" 9.4675376";" 8.9310151";" 4.1992766";" 0.0000000";" 1.8528850";" 2.4481585";" 0.8740044";" 3.1497331";"86.1214300";"89.0849003";" 1.9541304";" 1.1702077";" 5.7791101";" 3.2730122";" 3.0451135";" 1.4976894";" 0.0000000";"93.9346294";" 5.6883506";" 0.0000000";" 8.9304826";"10.5356459";" 0.0000000";"94.2658107";" 2.1359650";" 1.2977618";" 1.8337962";"66.4568684";" 5.5043246";" 2.0045660";"80.5950542"
"11am";" 4.5213117";"10.7217415";" 8.5994970";" 8.9098278";" 5.0958033";" 0.3315743";" 2.3365977";" 0.4785055";" 4.6356612";" 4.7377642";" 8.8143454";" 8.5073635";" 5.3043371";" 0.0000000";" 1.8818429";" 3.0191710";" 0.8179209";" 3.6256643";"88.2766179";"90.2883001";" 2.0873348";" 1.0618674";" 5.8244274";" 1.4372929";" 3.0467421";" 1.4483474";" 0.0000000";"93.8773444";" 5.5896381";" 0.0000000";" 9.4079934";"10.4304674";" 0.0000000";"95.2871169";" 1.0438985";" 0.5204372";" 2.6652989";"69.2198856";" 3.6987775";" 1.7899844";"80.7647215"
