"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041"
"min";"30.2453847824437";"30.2453847824437";"30.2453847824437";"30.2453847824437";"30.2453847824437";"30.2453847824437";"30.2453847824437";"30.2453847824437";"30.2453847824437";"30.2453847824437";"30.2453847824437";"30.2453847824437";"30.2453847824437";"30.2453847824437";"30.2453847824437";"30.2453847824437";"30.2453847824437";"30.2453847824437";"30.2453847824437";"30.2453847824437";"30.2453847824437";"30.2453847824437";"30.2453847824437";"30.2453847824437";"30.2453847824437";"30.2453847824437";"30.2453847824437";"30.2453847824437";"30.2453847824437";"30.2453847824437";"30.2453847824437";"30.2453847824437";"30.2453847824437";"30.2453847824437";"30.2453847824437";"30.2453847824437";"30.2453847824437";"30.2453847824437";"30.2453847824437";"30.2453847824437";"30.2453847824437"
"max";"69.7546152175562";"69.7546152175562";"69.7546152175562";"69.7546152175562";"69.7546152175562";"69.7546152175562";"69.7546152175562";"69.7546152175562";"69.7546152175562";"69.7546152175562";"69.7546152175562";"69.7546152175562";"69.7546152175562";"69.7546152175562";"69.7546152175562";"69.7546152175562";"69.7546152175562";"69.7546152175562";"69.7546152175562";"69.7546152175562";"69.7546152175562";"69.7546152175562";"69.7546152175562";"69.7546152175562";"69.7546152175562";"69.7546152175562";"69.7546152175562";"69.7546152175562";"69.7546152175562";"69.7546152175562";"69.7546152175562";"69.7546152175562";"69.7546152175562";"69.7546152175562";"69.7546152175562";"69.7546152175562";"69.7546152175562";"69.7546152175562";"69.7546152175562";"69.7546152175562";"69.7546152175562"
"4am";"50.74706";"43.79956";"48.52197";"49.67379";"48.95205";"44.36270";"44.64912";"39.75025";"48.93418";"47.33646";"48.07523";"52.39087";"44.80556";"43.99143";"39.78675";"48.44841";"42.54073";"45.92711";"51.75652";"51.27426";"41.75883";"50.90249";"47.49599";"42.05647";"53.21467";"48.07254";"43.10336";"53.22192";"45.75693";"49.31288";"43.38688";"46.02624";"40.10489";"50.72830";"51.94017";"49.55170";"41.93090";"53.27145";"41.38015";"46.55319";"53.66019"
"5am";"51.11371";"43.00488";"48.70991";"48.26073";"47.59321";"43.71689";"43.46887";"37.81670";"51.86182";"45.73546";"48.11591";"54.61945";"46.01998";"43.24843";"39.50684";"47.89737";"43.05341";"51.26742";"50.83119";"50.36373";"41.49173";"50.92729";"47.48068";"41.40998";"51.32111";"46.85655";"41.43667";"51.96295";"48.09539";"47.37008";"44.37763";"46.48256";"39.95354";"50.01229";"49.29536";"48.89860";"42.41239";"52.65145";"40.43274";"45.00993";"52.30981"
"6am";"49.32693";"42.58000";"48.63179";"49.05530";"46.74547";"41.47102";"42.38909";"37.27871";"50.81841";"45.48712";"46.48600";"55.53522";"44.32785";"43.14496";"38.91265";"45.41450";"43.45882";"52.65873";"51.50459";"49.49114";"39.59667";"49.72271";"47.53690";"39.29126";"50.98414";"44.78866";"36.93759";"49.85728";"47.67314";"50.28737";"45.72957";"48.03484";"39.76538";"49.46783";"48.62100";"50.11903";"40.93935";"52.10033";"38.17727";"41.13020";"50.30484"
"7am";"49.50840";"49.37276";"50.61231";"55.69799";"42.79064";"35.82446";"34.22693";"34.74940";"48.51384";"44.05704";"53.79523";"56.47589";"45.41884";"40.96735";"44.40514";"43.70008";"42.03475";"54.73975";"47.00946";"42.98821";"39.62701";"45.24502";"42.85663";"36.41228";"49.57065";"42.08631";"33.90107";"46.91365";"47.99006";"47.07055";"48.75235";"47.76864";"37.37481";"46.27771";"46.35185";"50.31003";"41.98355";"53.23833";"36.33134";"39.37925";"48.97957"
"8am";"46.29664";"45.51726";"49.57513";"58.00061";"41.23552";"42.82104";"31.48325";"33.76647";"47.75213";"45.28176";"55.05730";"57.48145";"47.59663";"40.03833";"47.45067";"41.99447";"43.46408";"57.00721";"58.23314";"41.27921";"38.91850";"43.13990";"43.82196";"38.71892";"46.48323";"41.77332";"33.50780";"44.10680";"48.62582";"47.72559";"49.48477";"48.02723";"32.88243";"45.95243";"45.62444";"48.50323";"41.36716";"56.76346";"34.08301";"40.90446";"51.48171"
"9am";"44.17242";"44.88432";"51.90405";"58.37371";"40.48651";"39.17799";"32.09391";"32.84625";"47.11023";"44.21198";"52.73403";"57.74172";"49.69861";"38.43175";"45.04053";"41.63093";"42.33678";"57.03975";"58.72684";"44.65457";"38.86185";"44.53690";"44.58323";"39.14660";"45.97720";"41.36286";"35.50194";"48.37626";"46.88552";"47.95364";"48.25839";"51.72124";"32.75974";"44.89510";"46.95831";"46.53501";"39.20104";"55.47688";"35.68936";"41.52089";"50.27162"
"10am";"45.20348";"48.06169";"50.95095";"57.40012";"37.27986";"38.99759";"32.03944";"31.89383";"48.23737";"44.44987";"53.74536";"58.33424";"49.17906";"38.97120";"46.58685";"40.95090";"44.03079";"55.10361";"58.25731";"45.28327";"36.99121";"47.87147";"44.75336";"39.10859";"46.33285";"42.72083";"35.80556";"49.33830";"48.20981";"45.17836";"51.49380";"48.51948";"30.24538";"44.05585";"44.65197";"46.03865";"40.12557";"55.15560";"36.87877";"43.01207";"49.49786"
"11am";"45.31373";"48.03610";"47.12608";"55.29695";"37.60396";"40.09423";"31.39664";"33.18919";"49.14866";"43.55275";"53.88085";"57.28659";"47.17724";"35.65699";"46.52933";"39.19048";"43.04099";"54.75625";"61.45491";"45.82510";"38.95381";"46.15646";"46.97283";"36.79321";"46.48809";"42.47543";"39.00752";"51.17439";"46.87374";"46.86032";"49.70771";"49.43295";"31.23810";"42.03147";"47.73439";"45.76919";"40.36428";"55.91557";"36.33244";"41.63782";"51.29816"
