"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041"
"min";"524.238083";"524.238083";"524.238083";"524.238083";"524.238083";"524.238083";"524.238083";"524.238083";"524.238083";"524.238083";"524.238083";"524.238083";"524.238083";"524.238083";"524.238083";"524.238083";"524.238083";"524.238083";"524.238083";"524.238083";"524.238083";"524.238083";"524.238083";"524.238083";"524.238083";"524.238083";"524.238083";"524.238083";"524.238083";"524.238083";"524.238083";"524.238083";"524.238083";"524.238083";"524.238083";"524.238083";"524.238083";"524.238083";"524.238083";"524.238083";"524.238083"
"max";"8227.96654";"8227.96654";"8227.96654";"8227.96654";"8227.96654";"8227.96654";"8227.96654";"8227.96654";"8227.96654";"8227.96654";"8227.96654";"8227.96654";"8227.96654";"8227.96654";"8227.96654";"8227.96654";"8227.96654";"8227.96654";"8227.96654";"8227.96654";"8227.96654";"8227.96654";"8227.96654";"8227.96654";"8227.96654";"8227.96654";"8227.96654";"8227.96654";"8227.96654";"8227.96654";"8227.96654";"8227.96654";"8227.96654";"8227.96654";"8227.96654";"8227.96654";"8227.96654";"8227.96654";"8227.96654";"8227.96654";"8227.96654"
"4am";"4085.161";"2299.660";"3128.480";"2980.212";"3728.060";"3107.468";"1609.992";"3544.812";"4333.847";"4304.793";"2911.178";"4666.531";"3290.898";"2193.738";"2143.593";"2097.279";"3668.052";"3287.042";"2784.054";"4221.856";"3699.048";"1073.236";"1581.841";"3120.708";"4159.919";"3254.173";"1674.040";"3668.704";"3302.375";"1904.620";"3466.776";"2276.351";"3024.654";"2384.144";"2593.544";"4042.543";"3014.085";"2265.696";"3143.835";"4169.322";"3556.094"
"5am";"4145.537";"2267.293";"3152.105";"2762.619";"3571.112";"3045.914";"1516.080";"3234.606";"4789.118";"4074.595";"2933.154";"5103.951";"3442.463";"2103.034";"2088.163";"2064.131";"3768.652";"4067.744";"2682.821";"4070.813";"3658.609";"1074.302";"1508.300";"2985.483";"3855.837";"3099.283";"1563.509";"3432.004";"3627.533";"1740.126";"3609.101";"2318.522";"2967.844";"2316.824";"2270.258";"3974.521";"3045.828";"2125.912";"3011.586";"3884.522";"3412.334"
"6am";"3916.1752";"2149.3611";"3121.6584";"2740.3860";"3455.3563";"2683.9393";"1432.8848";"3207.9765";"4589.6496";"3925.6594";"2733.3317";"5062.4076";"3250.7710";"1997.1244";"1913.6208";"1875.9267";"3594.0598";"4141.8348";"2756.1086";"3904.6773";"3344.3042";" 992.3703";"1532.5914";"2589.1064";"3561.3984";"2808.0781";"1228.2336";"3073.3775";"3422.1715";"1868.6798";"3725.1866";"2352.8254";"2896.2015";"2102.9688";"2203.9151";"3791.0878";"2912.0217";"1995.3278";"2704.1897";"3354.5893";"3067.6357"
"7am";"4502.8750";"3842.3917";"3000.4019";"3697.2463";"3329.2335";"2135.9045";"1091.9915";"2405.6682";"4207.6848";"3714.7573";"3395.4377";"5078.7580";"3317.5108";"1738.6323";"2051.2571";"1593.7528";"3240.3672";"3911.5741";"1855.0683";"2632.4034";"3723.6725";" 777.7977";"1381.6507";"2223.2295";"3029.7020";"2264.6721";" 945.5017";"2286.1436";"3300.5637";"1540.9444";"4131.3078";"2142.7495";"2348.3738";"1579.6987";"1826.2541";"3710.3923";"3086.2774";"2046.5398";"2308.2283";"2945.0962";"2539.4521"
"8am";"5437.3824";"3732.0076";"2760.8378";"3684.0105";"3462.7630";"2547.3199";"1043.8641";"2279.8228";"3903.4061";"3825.5949";"4070.9086";"4778.8734";"4012.5398";"1699.2013";"1941.2010";"1537.8477";"3248.3227";"3942.6575";"1923.8511";"2159.1899";"3659.3680";" 642.6506";"1647.3409";"2377.3019";"2538.0797";"2084.8199";" 832.3869";"1970.5419";"3330.6705";"1382.3982";"4132.2221";"2289.3060";"1797.5014";"1375.0903";"1549.4513";"3338.5996";"3319.4994";"2095.7659";"2091.7306";"3033.8428";"2350.0792"
"9am";"5761.4038";"3903.9851";"2964.4779";"3579.1593";"3312.6257";"2420.5172";" 958.5875";"2170.3284";"3635.2898";"3844.0493";"4131.4628";"4671.2346";"4630.6134";"1462.7678";"1726.7466";"1594.0113";"2889.5082";"3532.1490";"1957.5493";"2382.5825";"4153.1604";" 644.9794";"1544.4778";"2213.8669";"2559.8029";"1860.4991";" 801.9401";"2008.4139";"3080.3029";"1376.8600";"3884.0909";"2499.1172";"1708.5328";"1324.2851";"1441.6679";"3047.6693";"3141.3235";"1941.2744";"2188.1058";"3079.3961";"2206.1947"
"10am";"5998.1118";"4136.3574";"2828.0301";"3435.8402";"2943.4412";"2404.5885";" 983.5215";"2186.8502";"3637.7446";"3741.2752";"4335.0476";"4558.9357";"5056.3845";"1462.5208";"1853.5791";"1436.5498";"2984.6582";"3517.3126";"1921.3954";"2529.0202";"4003.8663";" 660.7406";"1580.0938";"2005.2928";"2538.6085";"1962.8721";" 791.5940";"1956.6603";"3150.4284";"1350.3483";"4004.6567";"2361.5999";"1519.3240";"1376.6770";"1464.1317";"2946.4524";"3056.9844";"2009.2794";"2161.1826";"3211.7007";"2212.8860"
"11am";"5603.6981";"4225.1692";"2489.0799";"3407.7613";"2990.2643";"2426.0522";" 974.5943";"2242.5779";"3929.5873";"3850.9044";"4172.0533";"4700.0097";"4462.6838";"1357.5050";"1822.8030";"1468.6386";"3117.6163";"3665.1992";"1981.5121";"2629.0440";"3947.2295";" 702.0684";"1645.5519";"1979.5723";"2545.7530";"2018.0837";" 976.4153";"1997.1507";"3117.2134";"1366.2870";"4012.0015";"2245.8506";"1683.3346";"1348.8944";"1601.3148";"3017.7882";"2952.8917";"2039.9880";"2236.4973";"3023.6902";"2280.2027"
