"district","hour","cspmen1","cspmen2","cspmen3","cspmen4","cspmen5"
"001","4am",6.718977,19.65219,34.58214,29.652307,9.3943838
"002","4am",6.067409,12.80555,31.95959,39.441511,9.725936
"003","4am",17.722334,27.18132,22.21445,16.553803,16.3281023
"004","4am",10.520253,27.04542,18.75672,37.753402,5.9242062
"005","4am",21.531462,40.1543,28.94935,8.589658,0.775228
"006","4am",34.907772,25.28377,21.09009,16.023896,2.6944687
"007","4am",27.26772,41.11576,26.34813,4.639282,0.6291027
"008","4am",24.438974,34.52322,23.09864,17.322716,0.6164533
"009","4am",10.862523,27.92605,32.07806,27.203394,1.9299752
"010","4am",25.45259,23.71325,38.90514,8.665981,3.2630331
"011","4am",25.107875,33.87564,32.49604,5.21208,3.3083633
"012","4am",16.010943,47.51113,17.4337,16.799154,2.2450743
"013","4am",20.654724,25.67433,36.21056,15.327596,2.1327904
"014","4am",27.077751,38.5743,28.7594,3.456957,2.131593
"015","4am",36.654791,20.20507,30.51665,9.538785,3.0847078
"016","4am",25.212807,38.7478,19.15725,16.882145,0
"017","4am",12.510646,49.36794,22.41076,13.237986,2.4726658
"018","4am",27.234521,43.53718,16.53831,12.689984,0
"019","4am",7.637991,18.86127,33.87867,38.419926,1.2021407
"020","4am",14.948008,27.77147,22.58026,31.148312,3.5519562
"021","4am",20.589692,52.27816,22.04744,3.500724,1.5839829
"022","4am",31.312508,31.25786,27.31277,10.116865,0
"023","4am",38.065356,42.49495,18.62444,0,0.8152468
"024","4am",27.346955,43.14211,19.60025,8.809201,1.1014878
"025","4am",34.318412,37.77249,18.96739,7.046829,1.8948741
"026","4am",26.135172,45.66832,20.92146,5.279111,1.9959424
"027","4am",16.597566,28.86553,36.9306,17.606305,0
"028","4am",19.882439,40.02988,16.93952,18.738598,4.4095648
"029","4am",13.710051,43.2302,19.25624,22.47513,1.3283755
"030","4am",15.88158,39.54464,29.54598,11.580844,3.4469561
"031","4am",17.149648,35.42614,27.82355,19.600663,0
"032","4am",14.707794,34.70057,35.25285,13.214783,2.124
"033","4am",13.639062,42.31725,24.36851,12.701834,6.9733451
"034","4am",12.000955,45.97461,23.4615,9.144166,9.4187713
"035","4am",23.590344,34.60521,16.37364,21.900369,3.5304455
"036","4am",41.494369,27.99638,22.3509,8.158341,0
"037","4am",35.890582,34.14763,24.0748,4.850958,1.0360266
"038","4am",20.255872,52.21897,18.8675,8.015134,0.6425196
"039","4am",33.781472,26.88238,29.96525,9.3709,0
"040","4am",37.825707,39.48862,16.89233,5.79335,0
"041","4am",4.532551,25.58854,28.92227,35.189526,5.7671176
"001","5am",6.654038,19.46225,35.21441,29.365717,9.3035869
"002","5am",6.0414,13.17933,31.82259,39.272435,9.6842434
"003","5am",18.38716,26.73108,22.12792,16.489329,16.2645072
"004","5am",9.218849,26.2933,19.68484,38.585669,6.2173471
"005","5am",21.863702,39.76358,28.07195,9.513579,0.7871901
"006","5am",34.193162,25.77955,21.20603,16.111981,2.7092805
"007","5am",28.191354,40.51048,26.54597,4.101784,0.6504121
"008","5am",24.110195,33.10399,24.08252,18.060577,0.6427111
"009","5am",13.457021,29.06591,30.414,25.21364,1.849431
"010","5am",25.981077,24.71314,37.12908,8.845918,3.3307854
"011","5am",24.906165,34.03883,32.23498,5.538242,3.2817847
"012","5am",15.698801,47.83398,17.55432,16.77292,2.1399821
"013","5am",19.803943,27.76288,34.96525,15.373782,2.0941502
"014","5am",27.768548,36.35445,29.4931,4.19793,2.1859735
"015","5am",36.142981,20.51387,31.33294,8.878354,3.1318523
"016","5am",25.327035,38.18224,20.2732,16.217522,0
"017","5am",12.638948,48.96669,22.43929,13.520325,2.4347528
"018","5am",26.861441,46.62733,15.12588,11.385353,0
"019","5am",7.784491,18.61044,33.22304,39.156837,1.2251983
"020","5am",14.490493,27.13074,23.01319,31.745519,3.6200579
"021","5am",20.684118,52.05931,22.14855,3.516779,1.5912472
"022","5am",31.774003,30.81535,27.29891,10.111732,0
"023","5am",36.404242,44.08381,18.65668,0,0.8552665
"024","5am",27.872018,42.80152,20.17308,8.019699,1.1336797
"025","5am",34.669394,37.7892,19.73506,5.834777,1.9715658
"026","5am",26.211541,46.27096,20.06798,5.405709,2.0438071
"027","5am",17.088676,28.17134,36.61272,18.127263,0
"028","5am",19.585771,40.92902,15.31519,19.565795,4.6042207
"029","5am",15.048553,41.65679,20.54514,21.479961,1.2695568
"030","5am",16.698026,39.4662,28.69836,11.513251,3.6241585
"031","5am",17.182861,35.06721,28.49228,19.257644,0
"032","5am",14.581338,35.26201,34.94975,13.101164,2.1057381
"033","5am",13.85053,41.4229,24.74633,12.898771,7.0814641
"034","5am",12.176491,46.64707,22.34198,9.277917,9.5565386
"035","5am",23.518161,32.52879,16.34921,23.771716,3.8321157
"036","5am",40.299301,28.59589,22.91535,8.189454,0
"037","5am",35.383196,34.62652,24.0977,4.855571,1.0370118
"038","5am",19.935085,51.24716,19.75353,8.39153,0.6726928
"039","5am",34.838846,25.69603,29.90669,9.558436,0
"040","5am",38.345199,39.33444,16.03194,6.288422,0
"041","5am",4.604637,25.45867,28.32868,35.749178,5.8588375
"001","6am",5.67018,20.76928,37.49206,27.618053,8.4504271
"002","6am",5.653541,14.52958,29.5551,40.129655,10.1321208
"003","6am",18.546806,26.60133,24.52391,14.601601,15.7263589
"004","6am",9.453487,24.79154,20.18586,38.065739,7.5033796
