"district","hour","educmen1","educmen2","educmen3","educmen4"
"001","4am",816.9937,1632.653,2426.7079,1474.18288
"002","4am",115.5393,2243.241,1296.6693,1440.3288
"003","4am",867.7833,2540.773,1053.9887,1611.74073
"004","4am",228.8728,2892.969,1418.6042,1296.44375
"005","4am",1330.9158,4543.541,1235.1646,344.41488
"006","4am",1127.9649,3726.3,1527.5624,499.75122
"007","4am",512.3568,2691.379,336.9968,65.14465
"008","4am",1806.9343,5083.989,1778.9616,247.8267
"009","4am",338.2155,4921.264,2283.3134,1224.03925
"010","4am",736.2746,5454.684,2085.169,817.90523
"011","4am",553.1232,3421.341,783.372,302.46384
"012","4am",825.281,6263.234,1258.5575,560.07388
"013","4am",1531.9976,4556.734,1066.6931,189.4183
"014","4am",879.7159,3317.446,789.5769,0
"015","4am",1278.2746,3397.62,534.5479,177.26425
"016","4am",1794.0522,1720.001,534.0988,243.27466
"017","4am",1136.6722,5986.541,1212.2502,286.9836
"018","4am",919.6925,4880.895,1030.6469,325.85096
"019","4am",758.9151,2059.924,1893.331,666.9658
"020","4am",691.3308,5383.061,1190.912,759.40643
"021","4am",1967.3488,6103.449,720.4853,66.83734
"022","4am",627.7017,1187.894,242.395,50.42626
"023","4am",512.9062,2456.229,298.3544,62.98291
"024","4am",1625.547,4934.039,552.5163,308.17723
"025","4am",679.1192,6235.501,902.6211,0
"026","4am",1585.7228,3721.041,1199.1667,263.36621
"027","4am",581.4555,2416.689,680.3513,205.28552
"028","4am",554.9512,4557.14,1151.4955,560.49818
"029","4am",1367.471,3594.56,1854.7761,400.4062
"030","4am",1047.3775,1881.832,777.9932,155.11649
"031","4am",1147.7921,4984.524,1529.5811,328.48174
"032","4am",647.7325,3247.183,825.1143,225.73888
"033","4am",1358.9848,4630.903,1044.5771,507.39244
"034","4am",585.4814,2703.588,896.149,514.61107
"035","4am",869.4256,2670.335,1041.5552,412.01328
"036","4am",1647.2684,5319.715,771.197,420.05139
"037","4am",2307.3452,3222.129,1235.4874,352.31648
"038","4am",501.9941,3131.714,496.4904,122.91737
"039","4am",2063.676,3013.548,2280.7621,239.46016
"040","4am",3611.9394,4159.707,1142.4655,41.92863
"041","4am",913.6732,2825.519,2065.2885,822.58072
"001","5am",816.9937,1693.03,2426.7079,1474.18288
"002","5am",115.5393,2210.874,1350.7938,1440.3288
"003","5am",867.7833,2585.286,1033.1004,1611.74073
"004","5am",228.8728,2735.512,1300.8579,1296.44375
"005","5am",1330.9158,4503.067,1163.3094,344.41488
"006","5am",1152.1923,3726.3,1466.0076,499.75122
"007","5am",488.1294,2597.467,336.9968,65.14465
"008","5am",1806.9343,4773.783,1724.8371,247.8267
"009","5am",338.2155,4986.911,2595.5655,1224.03925
"010","5am",736.2746,5224.485,2130.3837,817.90523
"011","5am",553.1232,3509.455,735.8128,302.46384
"012","5am",825.281,6446.339,1512.8726,560.07388
"013","5am",1405.376,4809.176,1076.3953,189.4183
"014","5am",879.7159,3207,775.9678,0
"015","5am",1241.4226,3337.355,534.5479,172.24823
"016","5am",1853.2816,1673.11,502.3562,243.27466
"017","5am",1136.6722,6076.069,1253.7103,286.9836
"018","5am",1041.0208,5516.617,1050.8759,325.85096
"019","5am",758.9151,1958.691,1893.331,666.9658
"020","5am",691.3308,5232.018,1190.912,759.40643
"021","5am",1967.3488,6063.011,720.4853,66.83734
"022","5am",627.7017,1188.959,242.395,50.42626
"023","5am",512.9062,2320.509,298.3544,44.89063
"024","5am",1625.547,4798.815,552.5163,232.69598
"025","5am",679.1192,6079.528,754.5117,0
"026","5am",1585.7228,3653.681,1111.6368,263.36621
"027","5am",581.4555,2306.158,680.3513,205.28552
"028","5am",554.9512,4268.633,1151.4955,560.49818
"029","5am",1367.471,3895.365,1879.1293,400.4062
"030","5am",1047.3775,1741.691,729.2869,155.11649
"031","5am",1147.7921,5091.83,1564.6001,328.48174
