"district","hour","sex1","sex2"
"001","4am",50.74706,49.25294
"002","4am",43.79956,56.20044
"003","4am",48.52197,51.47803
"004","4am",49.67379,50.32621
"005","4am",48.95205,51.04795
"006","4am",44.3627,55.6373
"007","4am",44.64912,55.35088
"008","4am",39.75025,60.24975
"009","4am",48.93418,51.06582
"010","4am",47.33646,52.66354
"011","4am",48.07523,51.92477
"012","4am",52.39087,47.60913
"013","4am",44.80556,55.19444
"014","4am",43.99143,56.00857
"015","4am",39.78675,60.21325
"016","4am",48.44841,51.55159
"017","4am",42.54073,57.45927
"018","4am",45.92711,54.07289
"019","4am",51.75652,48.24348
"020","4am",51.27426,48.72574
"021","4am",41.75883,58.24117
"022","4am",50.90249,49.09751
"023","4am",47.49599,52.50401
"024","4am",42.05647,57.94353
"025","4am",53.21467,46.78533
"026","4am",48.07254,51.92746
"027","4am",43.10336,56.89664
"028","4am",53.22192,46.77808
"029","4am",45.75693,54.24307
"030","4am",49.31288,50.68712
"031","4am",43.38688,56.61312
"032","4am",46.02624,53.97376
"033","4am",40.10489,59.89511
"034","4am",50.7283,49.2717
"035","4am",51.94017,48.05983
"036","4am",49.5517,50.4483
"037","4am",41.9309,58.0691
"038","4am",53.27145,46.72855
"039","4am",41.38015,58.61985
"040","4am",46.55319,53.44681
"041","4am",53.66019,46.33981
"001","5am",51.11371,48.88629
"002","5am",43.00488,56.99512
"003","5am",48.70991,51.29009
"004","5am",48.26073,51.73927
"005","5am",47.59321,52.40679
"006","5am",43.71689,56.28311
"007","5am",43.46887,56.53113
"008","5am",37.8167,62.1833
"009","5am",51.86182,48.13818
"010","5am",45.73546,54.26454
"011","5am",48.11591,51.88409
"012","5am",54.61945,45.38055
"013","5am",46.01998,53.98002
"014","5am",43.24843,56.75157
"015","5am",39.50684,60.49316
"016","5am",47.89737,52.10263
"017","5am",43.05341,56.94659
"018","5am",51.26742,48.73258
"019","5am",50.83119,49.16881
"020","5am",50.36373,49.63627
"021","5am",41.49173,58.50827
"022","5am",50.92729,49.07271
"023","5am",47.48068,52.51932
"024","5am",41.40998,58.59002
"025","5am",51.32111,48.67889
"026","5am",46.85655,53.14345
"027","5am",41.43667,58.56333
"028","5am",51.96295,48.03705
"029","5am",48.09539,51.90461
"030","5am",47.37008,52.62992
"031","5am",44.37763,55.62237
"032","5am",46.48256,53.51744
"033","5am",39.95354,60.04646
"034","5am",50.01229,49.98771
"035","5am",49.29536,50.70464
"036","5am",48.8986,51.1014
"037","5am",42.41239,57.58761
"038","5am",52.65145,47.34855
"039","5am",40.43274,59.56726
"040","5am",45.00993,54.99007
"041","5am",52.30981,47.69019
"001","6am",49.32693,50.67307
"002","6am",42.58,57.42
"003","6am",48.63179,51.36821
"004","6am",49.0553,50.9447
"005","6am",46.74547,53.25453
"006","6am",41.47102,58.52898
"007","6am",42.38909,57.61091
"008","6am",37.27871,62.72129
"009","6am",50.81841,49.18159
"010","6am",45.48712,54.51288
"011","6am",46.486,53.514
"012","6am",55.53522,44.46478
"013","6am",44.32785,55.67215
"014","6am",43.14496,56.85504
"015","6am",38.91265,61.08735
"016","6am",45.4145,54.5855
"017","6am",43.45882,56.54118
"018","6am",52.65873,47.34127
"019","6am",51.50459,48.49541
"020","6am",49.49114,50.50886
"021","6am",39.59667,60.40333
"022","6am",49.72271,50.27729
"023","6am",47.5369,52.4631
"024","6am",39.29126,60.70874
"025","6am",50.98414,49.01586
"026","6am",44.78866,55.21134
"027","6am",36.93759,63.06241
"028","6am",49.85728,50.14272
"029","6am",47.67314,52.32686
"030","6am",50.28737,49.71263
"031","6am",45.72957,54.27043
"032","6am",48.03484,51.96516
"033","6am",39.76538,60.23462
"034","6am",49.46783,50.53217
"035","6am",48.621,51.379
"036","6am",50.11903,49.88097
"037","6am",40.93935,59.06065
"038","6am",52.10033,47.89967
"039","6am",38.17727,61.82273
"040","6am",41.1302,58.8698
"041","6am",50.30484,49.69516
"001","7am",49.5084,50.4916
"002","7am",49.37276,50.62724
"003","7am",50.61231,49.38769
"004","7am",55.69799,44.30201
"005","7am",42.79064,57.20936
"006","7am",35.82446,64.17554
"007","7am",34.22693,65.77307
"008","7am",34.7494,65.2506
"009","7am",48.51384,51.48616
"010","7am",44.05704,55.94296
"011","7am",53.79523,46.20477
"012","7am",56.47589,43.52411
"013","7am",45.41884,54.58116
"014","7am",40.96735,59.03265
"015","7am",44.40514,55.59486
"016","7am",43.70008,56.29992
"017","7am",42.03475,57.96525
"018","7am",54.73975,45.26025
"019","7am",47.00946,52.99054
"020","7am",42.98821,57.01179
"021","7am",39.62701,60.37299
"022","7am",45.24502,54.75498
"023","7am",42.85663,57.14337
"024","7am",36.41228,63.58772
"025","7am",49.57065,50.42935
"026","7am",42.08631,57.91369
